measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sub-Saharan Africa,Female,Age-standardized,Ischemic heart disease,Rate,1992,85.32378231273934,98.43437967491022,73.4919572709063
Deaths,Sub-Saharan Africa,Both,Age-standardized,Ischemic heart disease,Rate,1992,93.08548535223717,103.1696025489921,84.05252788966122
Deaths,North Africa and Middle East,Male,All ages,Ischemic heart disease,Number,1990,221552.27060111618,240512.4817631649,202066.3639788871
Deaths,North Africa and Middle East,Female,All ages,Ischemic heart disease,Number,1990,164484.26287443758,187100.80122171034,147299.55218504838
Deaths,North Africa and Middle East,Both,All ages,Ischemic heart disease,Number,1990,386036.5334755538,418208.39349403896,357948.9963453576
Deaths,North Africa and Middle East,Male,All ages,Ischemic heart disease,Rate,1990,127.52289948058778,138.4361755918572,116.30703920196098
Deaths,North Africa and Middle East,Female,All ages,Ischemic heart disease,Rate,1990,99.41235564685626,113.08152565977217,89.02611844162273
Deaths,North Africa and Middle East,Both,All ages,Ischemic heart disease,Rate,1990,113.81067744212156,123.29553409626195,105.52995437249837
Deaths,North Africa and Middle East,Male,Age-standardized,Ischemic heart disease,Rate,1990,303.1093015986205,329.0198873574526,272.3419970178999
Deaths,North Africa and Middle East,Female,Age-standardized,Ischemic heart disease,Rate,1990,245.39760021855588,277.71911690646107,220.28087967776267
Deaths,North Africa and Middle East,Both,Age-standardized,Ischemic heart disease,Rate,1990,275.1764069121711,299.12471233957353,253.615561886163
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Ischemic heart disease,Number,1992,462033.0397951988,516911.6595576829,413819.5620012125
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Ischemic heart disease,Number,1992,416471.2531427662,476160.0121892961,366928.6979673812
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Ischemic heart disease,Number,1992,878504.2929379652,957650.9302543857,805798.5230103715
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Ischemic heart disease,Rate,1992,52.10695103143034,58.29602693367265,46.669553464408295
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Ischemic heart disease,Rate,1992,48.99006388888207,56.01133149636136,43.16230765133799
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Ischemic heart disease,Rate,1992,50.58133753337028,55.138336069307734,46.39518258922944
Deaths,"Southeast Asia, East Asia, and Oceania",Male,Age-standardized,Ischemic heart disease,Rate,1992,110.87412275931473,122.65786681621978,99.32116157040046
Deaths,"Southeast Asia, East Asia, and Oceania",Female,Age-standardized,Ischemic heart disease,Rate,1992,85.88998854468568,97.8596467784959,75.42766827368679
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Ischemic heart disease,Rate,1992,96.7059957647129,105.91284069074713,88.01072426956873
Deaths,Sub-Saharan Africa,Male,All ages,Diabetes mellitus type 2,Number,1992,43410.273768469735,49304.9454490322,38504.37975803808
Deaths,Sub-Saharan Africa,Female,All ages,Diabetes mellitus type 2,Number,1992,36469.10484956936,40688.48592286348,32591.27513000657
Deaths,Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 2,Number,1992,79879.37861803909,88144.48836583724,73273.8734767698
